campaign_id,platform,campaign_name,start_date,end_date,impressions,clicks,conversions,cost,revenue,conversion_rate,ROI
1,Instagram,tellus nisi eu orci mauris lacinia sapien quis libero nullam,2/3/2020,11/23/2020,8329,15,332,6598.09,105467.06,22.1333333333,14.9844833884
2,LinkedIn,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,12/3/2022,4/17/2022,4309,148,527,8268.97,69582.33,3.5608108108,7.4148727109
3,Twitter,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,10/10/2020,2/26/2021,96104,8130,594,1369.16,2657.51,0.0730627306,0.9409784101
4,Facebook,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,8/18/2022,9/27/2021,69684,4601,1000,6476.4,164359.05,0.2173440556,24.3781498981
5,Facebook,etiam pretium iaculis justo in hac habitasse platea dictumst etiam,9/6/2021,12/26/2020,11977,1546,100,280.02,126722.71,0.064683053,451.5487822298
6,Twitter,congue diam id ornare imperdiet sapien urna pretium nisl ut,2/23/2021,5/3/2022,87657,9891,355,3829.19,10039.46,0.0358912142,1.6218234144
7,LinkedIn,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,12/1/2021,3/14/2021,998,709,23,8626.73,53746.95,0.0324400564,5.2302807669
8,LinkedIn,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,8/1/2021,10/16/2020,72166,2057,522,70.37,24133.0,0.2537676228,341.9444365497
9,Instagram,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum,12/7/2021,7/8/2020,26346,9532,791,1269.28,108036.97,0.0829836341,84.1167354721
10,Facebook,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,7/15/2021,6/20/2021,11856,8494,163,1712.47,86814.84,0.0191900165,49.6956851799
11,Facebook,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,2/13/2021,12/30/2020,22473,382,373,1607.46,68205.85,0.9764397906,41.4308225399
12,LinkedIn,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,9/30/2021,4/21/2021,52729,19,661,3223.77,122281.06,34.7894736842,36.9310744873
13,Instagram,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,5/15/2021,12/9/2021,29731,609,455,1751.66,28246.24,0.7471264368,15.1254124659
14,Facebook,vel sem sed sagittis nam congue risus semper porta volutpat quam,5/21/2020,1/11/2021,19562,1189,940,7038.99,52614.53,0.7905803196,6.4747271981
